repeat,tick,warmup,phase,cpu_ms
1,577,false,rally,0.0018329620361328125
1,578,false,rally,0.0018339157104492188
1,579,false,rally,0.0018329620361328125
1,580,false,rally,0.0017919540405273438
1,581,false,rally,0.001833200454711914
1,582,false,rally,0.0018329620361328125
1,583,false,rally,0.0018339157104492188
1,584,false,rally,0.0018329620361328125
1,585,false,rally,0.001833200454711914
1,586,false,rally,0.0017919540405273438
1,587,false,rally,0.0018329620361328125
1,588,false,rally,0.002374887466430664
1,589,false,rally,0.0019168853759765625
1,590,false,rally,0.0018749237060546875
1,591,false,rally,0.0018329620361328125
1,592,false,rally,0.007750034332275391
1,593,false,rally,0.0022089481353759766
1,594,false,rally,0.0018749237060546875
1,595,false,rally,0.0018749237060546875
1,596,false,rally,0.001875162124633789
1,597,false,rally,0.0018341541290283203
1,598,false,rally,0.0017910003662109375
1,599,false,rally,0.0018339157104492188
1,600,false,rally,0.0018329620361328125
1,601,false,rally,0.001875162124633789
1,602,false,rally,0.001875162124633789
1,603,false,rally,0.0018329620361328125
1,604,false,rally,0.0018329620361328125
1,605,false,rally,0.0018339157104492188
1,606,false,rally,0.0018749237060546875
1,607,false,rally,0.001833200454711914
1,608,false,rally,0.0018329620361328125
1,609,false,rally,0.0018339157104492188
1,610,false,rally,0.0018749237060546875
1,611,false,rally,0.0018329620361328125
1,612,false,rally,0.0018341541290283203
1,613,false,rally,0.0018329620361328125
1,614,false,rally,0.0018329620361328125
1,615,false,rally,0.0018329620361328125
1,616,false,rally,0.0018339157104492188
1,617,false,rally,0.0018329620361328125
1,618,false,rally,0.0018329620361328125
1,619,false,rally,0.0018339157104492188
1,620,false,rally,0.0018329620361328125
1,621,false,rally,0.0017919540405273438
1,622,false,rally,0.0017921924591064453
1,623,false,rally,0.001833200454711914
1,624,false,rally,0.0018329620361328125
1,625,false,rally,0.0018339157104492188
1,626,false,rally,0.0018329620361328125
1,627,false,rally,0.0018329620361328125
1,628,false,rally,0.0018341541290283203
1,629,false,rally,0.0018749237060546875
1,630,false,rally,0.0018749237060546875
1,631,false,rally,0.0018749237060546875
1,632,false,rally,0.0018749237060546875
1,633,false,rally,0.0018329620361328125
1,634,false,rally,0.0018339157104492188
1,635,false,rally,0.0018329620361328125
1,636,false,rally,0.0018339157104492188
1,637,false,rally,0.001875162124633789
1,638,false,rally,0.0018329620361328125
1,639,false,rally,0.0018339157104492188
1,640,false,rally,0.0017919540405273438
1,641,false,rally,0.0018329620361328125
